Year,Temperature,,,
1880,56.82,,,
1881,56.98,,,
1882,56.91,,,
1883,56.88,,,
1884,56.73,,,
1885,56.75,,,
1886,56.77,,,
1887,56.64,,,
1888,56.86,,,
1889,57.04,,,
1890,56.62,,,
1891,56.73,,,
1892,56.64,,,
1893,56.57,,,
1894,56.62,,,
1895,56.75,,,
1896,56.88,,,
1897,56.88,,,
1898,56.64,,,
1899,56.84,,,
1900,56.93,,,
1901,56.82,,,
1902,56.66,,,
1903,56.55,,,
1904,56.41,,,
1905,56.66,,,
1906,56.73,,,
1907,56.44,,,
1908,56.43,,,
1909,56.35,,,
1910,56.37,,,
1911,56.41,,,
1912,56.46,,,
1913,56.50,,,
1914,56.79,,,
1915,56.91,,,
1916,56.55,,,
1917,56.41,,,
1918,56.64,,,
1919,56.68,,,
1920,56.71,,,
1921,56.84,,,
1922,56.68,,,
1923,56.75,,,
1924,56.77,,,
1925,56.82,,,
1926,57.04,,,
1927,56.88,,,
1928,56.91,,,
1929,56.64,,,
1930,56.98,,,
1931,57.07,,,
1932,57.00,,,
1933,56.75,,,
1934,57.04,,,
1935,56.93,,,
1936,57.02,,,
1937,57.25,,,
1938,57.31,,,
1939,57.22,,,
1940,57.33,,,
1941,57.34,,,
1942,57.29,,,
1943,57.31,,,
1944,57.45,,,
1945,57.20,,,
1946,57.06,,,
1947,57.13,,,
1948,57.02,,,
1949,57.00,,,
1950,56.86,,,
1951,57.09,,,
1952,57.24,,,
1953,57.36,,,
1954,57.00,,,
1955,56.98,,,
1956,56.88,,,
1957,57.27,,,
1958,57.27,,,
1959,57.24,,,
1960,57.13,,,
1961,57.29,,,
1962,57.27,,,
1963,57.33,,,
1964,56.84,,,
1965,57.02,,,
1966,57.13,,,
1967,57.18,,,
1968,57.11,,,
1969,57.31,,,
1970,57.27,,,
1971,57.07,,,
1972,57.24,,,
1973,57.49,,,
1974,57.07,,,
1975,57.18,,,
1976,56.98,,,
1977,57.47,,,
1978,57.31,,,
1979,57.42,,,
1980,57.61,,,
1981,57.70,,,
1982,57.36,,,
1983,57.69,,,
1984,57.42,,,
1985,57.34,,,
1986,57.47,,,
1987,57.72,,,
1988,57.83,,,
1989,57.63,,,
1990,57.90,,,
1991,57.88,,,
1992,57.54,,,
1993,57.58,,,
1994,57.72,,,
1995,57.97,,,
1996,57.79,,,
1997,58.03,,,
1998,58.32,,,
1999,57.94,,,
2000,57.94,,,
2001,58.15,,,
2002,58.32,,,
2003,58.30,,,
2004,58.14,,,
2005,58.39,,,
2006,58.28,,,
2007,58.33,,,
2008,58.08,,,
2009,58.28,,,
2010,58.41,,,
2011,58.19,,,
2012,58.24,,,
2013,58.30,,,
